"pwsid","detection_share"
"PA7280015",NA
"PA7280894",NA
"PA7360023",NA
"PA7360052",NA
"PA7360058",NA
"PA7360063",NA
"PA7360554",NA
"PA7360565",NA
"PA7360594",NA
"PA7360939",NA
"PA7360974",NA
"PA7380007",NA
"PA7380009",NA
"PA7380018",NA
"PA7380025",NA
"PA7380026",NA
"PA7380028",NA
"PA7380029",NA
"PA7380044",NA
"PA7380428",NA
"PA7381010",NA
"PA7500010",NA
"PA7500025",NA
"PA7500036",NA
"PA7670003",NA
"PA7670024",NA
"PA7670050",NA
"PA7670067",NA
"PA7670073",NA
"PA7670076",NA
"PA7670085",NA
"PA7670107",NA
"PA7670119",NA
"PA7670120",NA
"PA7671171",NA
"PA7671296",NA
"PA7671337",NA
"MI0000450",NA
"MI0000020",NA
"MI0000280",NA
"MI0000285",NA
"MI0000324",NA
"MI0000370",NA
"MI0000050",NA
"MI0000070",NA
"MI0000082",NA
"MI0000100",NA
"MI0000320",NA
"MI0000200",NA
"MI0000250",NA
"MI0000540",NA
"MI0000570",NA
"MI0000590",NA
"MI0000660",NA
"MI0000795",NA
"MI0000813",NA
"MI0000820",NA
"MI0000877",NA
"MI0000930",NA
"MI0001000",NA
"MI0001010",NA
"MI0001018",NA
"MI0001020",NA
"MI0001055",NA
"MI0001057",NA
"MI0001065",NA
"MI0001070",NA
"MI0001110",NA
"MI0001170",NA
"MI0001250",NA
"MI0001300",NA
"MI0001340",NA
"MI0001350",NA
"MI0001460",NA
"MI0001465",NA
"MI0001470",NA
"MI0001490",NA
"MI0001530",NA
"MI0001543",NA
"MI0001570",NA
"MI0001620",NA
"MI0001640",NA
"MI0001658",NA
"MI0001667",NA
"MI0001700",NA
"MI0001718",NA
"MI0001720",NA
"MI0001760",NA
"MI0001840",NA
"MI0001870",NA
"MI0001900",NA
"MI0001905",NA
"MI0001925",NA
"MI0001980",NA
"MI0002025",NA
"MI0002050",NA
"MI0002070",NA
"MI0002077",NA
"MI0002110",NA
"MI0002120",NA
"MI0002200",NA
"MI0002277",NA
"MI0002290",NA
"MI0002340",NA
"MI0002390",NA
"MI0002480",NA
"MI0002520",NA
"MI0002530",NA
"MI0002540",NA
"MI0002617",NA
"MI0002685",NA
"MI0002740",NA
"MI0002770",NA
"MI0002780",NA
"MI0002785",NA
"MI0002830",NA
"MI0002845",NA
"MI0002980",NA
"MI0003001",NA
"MI0003050",NA
"MI0003070",NA
"MI0003115",NA
"MI0003120",NA
"MI0003220",NA
"MI0003230",NA
"MI0003240",NA
"MI0003330",NA
"MI0003340",NA
"MI0003400",NA
"MI0003420",NA
"MI0003430",NA
"MI0003435",NA
"MI2120135",NA
"MI3020224",NA
"MI2320116",NA
"MI5720024",NA
"MI2320267",NA
"MI2720068",NA
"MI3020006",NA
"MI2920144",NA
"MI1820257",NA
"MI1720151",NA
"MI1720155",NA
"MI8320292",NA
"MI6322139",NA
"MI3420268",NA
"MI6321957",NA
"MI7920282",NA
"MI1920159",NA
"MI5720054",NA
"MI2320045",NA
"MI1720038",NA
"MI6720018",NA
"MI3720011",NA
"MI2420003",NA
"MI7220054",NA
"MI2720137",NA
"MI2521181",NA
"MI2521263",NA
"MI2521363",NA
"MI2521430",NA
"MI2521453",NA
"MI2521458",NA
"MI2521551",NA
"MI2521562",NA
"MI2521601",NA
"MI2620005",NA
"MI2720021",NA
"MI2720096",NA
"MI2720100",NA
"MI2820040",NA
"MI2820062",NA
"MI2820108",NA
"MI2820123",NA
"MI2820361",NA
"MI2920040",NA
"MI2920041",NA
"MI2920042",NA
"MI2920043",NA
"MI2920070",NA
"MI2920121",NA
"MI3020029",NA
"MI0006971",NA
"MI0007010",NA
"MI0007012",NA
"MI0007050",NA
"MI0007100",NA
"MI0007120",NA
"MI0007130",NA
"MI0007160",NA
"MI0007230",NA
"MI0007231",NA
"MI0040004",NA
"MI0040005",NA
"MI0040006",NA
"MI0040013",NA
"MI0040016",NA
"MI0040021",NA
"MI0040023",NA
"MI0040026",NA
"MI0040028",NA
"MI0040039",NA
"MI0040041",NA
"MI0040042",NA
"MI0040043",NA
"MI0040044",NA
"MI0040060",NA
"MI0040062",NA
"MI0040063",NA
"MI0040067",NA
"MI0040080",NA
"MI0040081",NA
"MI0040090",NA
"MI0040100",NA
"MI0040104",NA
"MI0040107",NA
"MI0040116",NA
"MI0040119",NA
"MI0040123",NA
"MI0040124",NA
"MI0040138",NA
"MI0040140",NA
"MI0040145",NA
"MI0040148",NA
"MI0040154",NA
"MI0040155",NA
"MI0040158",NA
"MI0040163",NA
"MI0040169",NA
"MI0040178",NA
"MI0040187",NA
"MI0040193",NA
"MI0040197",NA
"MI0040199",NA
"MI0040202",NA
"MI0040203",NA
"MI0040204",NA
"MI0040206",NA
"MI0040213",NA
"MI0040218",NA
"MI0040219",NA
"MI0040222",NA
"MI0040231",NA
"MI0040240",NA
"MI0040248",NA
"MI0040255",NA
"MI0040264",NA
"MI0040275",NA
"MI0040292",NA
"MI0040299",NA
"MI0040308",NA
"MI0040324",NA
"MI0040325",NA
