"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"22234","VT0005169","TT","Archived",183,1
"22235","WA5309356","MCL","Resolved",364,2
"22236","WA5352112","MCL","Resolved",30,1
"22237","WI8070100","MCL","Resolved",30,5
"22238","WV3301720","TT","Resolved",2272,12
"22239","WV9936077","TT","Archived",30,2
"22240","WV9947002","TT","Resolved",547,3
"22241","WY5600659","TT","Resolved",2378,1
"22242","NH1045040","MCL","Archived",89,1
"22243","CT1059234","TT","Unaddressed",258,6
"22244","VI3000068","MCL","Archived",30,1
"22245","VI0000413","MCL","Archived",29,1
"22246","NH2052040","TT","Archived",1527,1
"22247","063500006","TT","Resolved",3003,76
"22248","090400277","TT","Resolved",997,1
"22249","AK2110106","TT","Resolved",2623,4
"22250","AK2120761","TT","Resolved",2641,4
"22251","AK2240309","TT","Resolved",2238,1
"22252","AK2243967","TT","Resolved",2496,1
"22253","AR0000127","TT","Resolved",1009,4
"22254","AR0000815","TT","Resolved",1070,8
"22255","AZ0407482","TT","Resolved",1767,4
"22256","AZ0420487","TT","Resolved",1174,3
"22257","CA1900808","MCL","Resolved",30,2
"22258","CA1907024","MCL","Resolved",30,2
"22259","CA3100538","MCL","Resolved",30,2
"22260","CA3200111","MCL","Resolved",29,2
"22261","CA3901474","MCL","Archived",91,6
"22262","CA4300571","TT","Resolved",1954,4
"22263","CO0123188","TT","Resolved",1436,4
"22264","CO0260040","TT","Resolved",1832,3
"22265","CT0870024","TT","Resolved",2287,12
"22266","CT0960031","TT","Resolved",1371,14
"22267","CT1059214","TT","Resolved",2287,7
"22268","FL4061517","MCL","Resolved",91,5
"22269","IA2909053","TT","Resolved",30,4
