pwsid,total_samples,detection_share,concentration_avg,concentration_max,pfas_count
093200369,12,0,0,0,0
093500333,24,0,0,0,0
104101136,25,0,0,0,0
104121120,24,0,0,0,0
104121121,25,0,0,0,0
105300003,91,0,0,0,0
105300013,12,0,0,0,0
105300019,33,0,0,0,0
105300031,25,0,0,0,0
105300116,83,0,0,0,0
105338117,25,0,0,0,0
105388890,24,0,0,0,0
AK2110342,18,0,0,0,0
AK2130596,6,0,0,0,0
AK2210605,29,0,0,0,0
AK2210906,320,.015625,1.57440197467804,20.30000019073486,2
AK2211423,140,0,0,0,0
AK2212021,12,0,0,0,0
AK2212039,58,0,0,0,0
AK2224646,101,.01980198,1.04285717010498,4.199999809265137,1
AK2226020,62,0,0,0,0
AK2240456,24,0,0,0,0
AK2240757,70,0,0,0,0
AK2241054,29,0,0,0,0
AK2250011,116,0,0,0,0
AK2260286,2,0,0,0,0
AK2260309,112,0,0,0,0
AK2293205,58,0,0,0,0
AK2298103,58,0,0,0,0
AK2310675,11,.090909094,1.299999952316284,2.599999904632568,1
AK2310683,58,.05172414,6.74999988079071,8.800000429153442,2
AK2310730,12,0,0,0,0
AK2310900,12,0,0,0,0
AK2310918,47,.36170211,5.029347896575928,27,2
AK2320078,52,.5,41.23846173286438,107.3000001907349,2
AK2340109,2,.5,.2300000041723251,.2300000041723251,1
AK2340117,2,0,0,0,0
AK2340230,2,0,0,0,0
AK2340670,24,0,0,0,0
AK2350023,96,.20833333,10.53750002384186,63.79999923706055,5
AK2370625,90,.044444446,440.7142944335938,2927,3
AK2370798,29,0,0,0,0
AK2372245,12,.83333331,241.0357055664063,691,2
AL0000013,152,.18421052,89.28333353996277,179.7999992370605,7
AL0000017,37,.1891892,17.19166660308838,64.69999980926514,5
AL0000023,49,.1632653,8.514286041259766,18.60000038146973,2
AL0000025,94,.13829787,13.47000014781952,35.90000009536743,7
AL0000029,19,.052631579,2.400000095367432,2.400000095367432,1
AL0000035,13,.07692308,.6666666865348816,2,1
AL0000036,28,.35714287,7.900000214576721,15.39999985694885,4
AL0000038,12,0,0,0,0
AL0000048,65,.10769231,22.64166676998138,63.59999990463257,5
AL0000053,70,0,0,0,0
AL0000068,29,0,0,0,0
AL0000076,29,0,0,0,0
AL0000079,58,0,0,0,0
AL0000083,58,0,0,0,0
AL0000085,70,0,0,0,0
AL0000091,108,0,0,0,0
AL0000092,58,0,0,0,0
AL0000093,83,0,0,0,0
AL0000098,12,0,0,0,0
AL0000100,58,0,0,0,0
AL0000103,115,.034782607,1.037500008940697,8.300000071525574,4
AL0000108,29,0,0,0,0
AL0000117,29,0,0,0,0
AL0000125,112,0,0,0,0
AL0000131,24,0,0,0,0
AL0000133,24,0,0,0,0
AL0000154,34,.11764706,1.066666677594185,6.399999976158142,4
AL0000162,24,0,0,0,0
AL0000168,9,1,27.34999966621399,37.20000004768372,4
AL0000174,90,.044444446,4.12499988079071,13.49999976158142,3
AL0000178,116,.0086206896,1.599999904632568,6.399999618530273,1
AL0000179,140,.064285718,8.375,23.60000038146973,4
AL0000180,116,.14655173,21.625,34.40000009536743,6
AL0000181,10,1,44.64999938011169,47.90000009536743,5
AL0000184,21,1,19.37499988079071,27.19999980926514,6
AL0000187,116,0,0,0,0
AL0000188,61,1,205.2140429019928,417.8999998569489,8
AL0000189,70,0,0,0,0
AL0000213,30,.26666668,38.38000005483627,122.2000000476837,6
AL0000232,58,0,0,0,0
AL0000234,12,0,0,0,0
AL0000237,117,.008547009,.6200000047683716,3.100000143051147,1
AL0000255,50,.41999999,29.40000009536743,55.49999952316284,7
AL0000256,5,1,16.42500019073486,21.5,2
AL0000262,127,.2992126,79.9452383518219,101.1000001430511,7
AL0000264,4,0,0,0,0
AL0000279,144,0,0,0,0
AL0000296,163,0,0,0,0
AL0000311,7,1,22.93333339691162,26.30000019073486,3
AL0000314,221,.47058824,42.72715455293655,180.6000010967255,8
AL0000316,35,.31428573,12.32666659355164,27.30000019073486,6
AL0000319,1,1,4.800000190734863,4.800000190734863,1
AL0000320,33,.18181819,19.25000011920929,28.79999995231628,4
AL0000321,34,.29411766,13.33000013232231,41.69999933242798,6
AL0000327,40,.40000001,20.81428575515747,63.30000019073486,6
AL0000329,35,.17142858,13.73333358764648,27.40000009536743,4
AL0000331,33,.27272728,5.23333328962326,14.20000016689301,5
AL0000338,58,0,0,0,0
AL0000339,1,1,6.599999904632568,6.599999904632568,1
AL0000356,88,0,0,0,0
AL0000361,59,0,0,0,0
AL0000366,25,1,63.92499947547913,141,7
AL0000375,42,.023809524,.7250000238418579,2.900000095367432,1
AL0000394,24,0,0,0,0
AL0000397,58,0,0,0,0
AL0000402,24,0,0,0,0
AL0000406,58,.017241379,1.649999976158142,3.299999952316284,1
AL0000413,65,.12307692,54.66270017623901,290,3
AL0000416,13,1,53.5,61.89999961853027,9
AL0000417,1,1,3.799999952316284,3.799999952316284,1
AL0000418,1,1,4.400000095367432,4.400000095367432,1
AL0000419,1,1,4.300000190734863,4.300000190734863,1
AL0000420,59,.016949153,1.266666650772095,3.799999952316284,1
AL0000421,1,1,7,7,1
AL0000422,1,1,4,4,1
