pwsid,haa5,tthm,tthm_alt,haa5_alt,combined_dbp
AK2226452,,,,,
AK2226460,,0,,,0
AK2226656,,4.5300002,4.5300002,,4.5300002
AK2227199,,,,,
AK2227301,,,,,
AK2227327,,,,,
AK2227539,0,1.14,1.14,,1.14
AK2240448,13.646667,19.200001,19.200001,2.9200001,32.846668
AK2240456,47.326248,37.827499,53.040752,40.004166,85.153748
AK2240464,0,25.65,20.870001,,25.65
AK2240472,17.280001,15.284,21.440001,15.253334,32.564003
AK2240498,7.8000002,9.5166664,19.903334,7.8000002,17.316666
AK2240618,,11.6,,,11.6
AK2240707,57,26.700001,26.700001,4.6350002,83.699997
AK2240757,0,1.2750001,1.2750001,,1.2750001
AK2240969,,5.9766665,5.9766665,,5.9766665
AK2241020,,.32499999,,,.32499999
AK2241054,5.77,13.959999,13.959999,5.77,19.73
AK2241648,1.6,41.200001,2.9100001,,42.799999
AK2242929,,,,,
AK2243006,,,,,
AK2243103,,,,,
AK2243137,,,,,
AK2244159,2.0666666,4.2849998,,2.0666666,6.3516665
AK2244484,1.67,12.3,10.940001,1.67,13.97
AK2244955,17,34.099998,34.584999,17,51.099998
AK2245058,0,.74000001,.74000001,,.74000001
AK2245325,,,,,
