pwsid,haa5,haa5_syr3,haa5_syr4,tthm,tthm_syr3,tthm_syr4,combined_dbp,combined_dbp_syr3,combined_dbp_syr4
MO2024000,22.450001,0,22.450001,58.099998,6.29,58.099998,80.550003,6.29,80.550003
MO2024013,0,0,4.6599998,0,0,10.24,0,0,14.9
MO2024014,0,0,0,0,0,3.8199999,0,0,3.8199999
MO2024105,25.299999,7.0700002,25.299999,61.049999,22.880001,61.049999,86.349998,29.950001,86.349998
MO2024125,31.15,0,31.15,37.683334,0,37.683334,68.833336,0,68.833336
MO2024128,25.428572,0,25.428572,41.644444,0,41.644444,67.073013,0,67.073013
MO2024138,0,0,.685,4.0100002,4.0100002,2.5349998,4.0100002,4.0100002,3.2199998
MO2024237,34.674999,0,34.674999,61.700001,0,61.700001,96.375,0,96.375
MO2024259,14.85,0,14.85,47.950001,17.6,47.950001,62.800003,17.6,62.800003
MO2024261,13.4,0,13.4,52.5,0,52.5,65.900002,0,65.900002
MO2024313,35.68,0,35.68,54.916668,0,54.916668,90.596664,0,90.596664
MO2024335,25.049999,0,25.049999,50.919998,0,50.919998,75.970001,0,75.970001
MO2024346,31.775,23.533333,36.720001,61.516666,75.150002,54.700001,93.291664,98.683334,91.419998
MO2024350,22.766666,24.266666,21.266666,71.900002,72.650002,71.599998,94.666672,96.916672,92.866669
MO2024352,22.5,0,22.5,55,0,55,77.5,0,77.5
MO2024353,0,2.3699999,0,0,0,12.629999,0,2.3699999,12.629999
MO2024354,0,0,22.751667,66.25,0,66.25,66.25,0,89.001663
MO2024355,8.1999998,0,16.4,35.900002,0,35.900002,44.100002,0,52.300003
MO2024363,24.387501,0,24.387501,42.32,0,42.32,66.707504,0,66.707504
MO2024377,0,0,23.481667,49.325001,0,49.325001,49.325001,0,72.806671
MO2024382,17.799999,0,17.799999,59.580002,0,59.580002,77.380005,0,77.380005
MO2024402,34.099998,0,34.099998,44.257141,0,44.257141,78.35714,0,78.35714
MO2024471,31.299999,0,31.299999,54.016666,0,54.016666,85.316666,0,85.316666
MO2024495,33.575001,0,33.575001,81.044441,0,81.044441,114.61945,0,114.61945
MO2024499,20.450001,0,20.450001,87.625,0,87.625,108.075,0,108.075
MO2024500,32.740002,0,32.740002,47,0,47,79.740005,0,79.740005
MO2024504,34.625,0,34.625,52.799999,0,52.799999,87.425003,0,87.425003
MO2024555,0,0,41.847,88.300003,0,88.300003,88.300003,0,130.147
MO2024556,33.871429,0,33.871429,72.533333,0,72.533333,106.40476,0,106.40476
MO2024557,40.474998,0,40.474998,61.98,0,61.98,102.455,0,102.455
MO2024559,28.700001,0,28.700001,52.720001,0,52.720001,81.419998,0,81.419998
MO2024565,23.166666,0,23.166666,59.674999,0,59.674999,82.841667,0,82.841667
MO2024572,38.666668,0,38.666668,51.25,0,51.25,89.916672,0,89.916672
MO2024594,37.575001,0,37.575001,72.099998,0,72.099998,109.675,0,109.675
MO2036165,50.866665,0,50.866665,0,0,63.115002,50.866665,0,113.98167
MO2041558,0,0,0,0,0,.69,0,0,.69
MO2041563,14.7,0,14.7,36.75,0,36.75,51.450001,0,51.450001
MO2041594,0,0,0,0,0,0,0,0,0
MO2048076,0,0,0,0,0,0,0,0,0
MO2070133,0,0,0,64.599998,0,64.599998,64.599998,0,64.599998
MO2172928,0,0,0,0,0,0,0,0,0
MO2181076,30.055555,27.666666,31.25,67.565216,64.838463,71.110001,97.620773,92.505127,102.36
