pwsid,detection_share
AK2220310,0
AK2220353,0
AK2220375,.083333336
AK2220404,0
AK2220406,.034482758
AK2220408,0
AK2220409,0
AK2220414,0
AK2220422,0
AK2220423,.09259259
AK2220424,.14197531
AK2220429,0
AK2220436,0
AK2220439,.040229887
AK2220440,.10185185
AK2220441,0
AK2220442,0
AK2220443,0
AK2220446,0
AK2220449,0
AK2220457,0
AK2220458,0
AK2220459,0
AK2220462,.037037037
AK2220463,0
AK2220464,0
AK2220465,0
AK2220466,0
AK2220467,0
AK2220468,0
AK2220469,.21428572
AK2220470,0
AK2220471,0
AK2220472,.055555556
AK2220474,0
AK2220477,0
AK2220478,0
AK2220479,0
AK2220481,0
AK2220482,0
AK2220483,.033333335
AK2220484,0
AK2220634,0
AK2220642,.072704084
AK2220692,.016666668
AK2220723,0
AK2220901,0
AK2221004,.049047619
AK2221012,.055555556
AK2221208,0
AK2221321,0
AK2221347,.040816326
AK2221410,0
AK2221672,.034883723
AK2221680,0
AK2221800,0
AK2221826,0
AK2221834,.0020408162
AK2222084,.2769486
AK2222107,0
AK2222301,0
AK2222343,0
AK2222351,.014705882
AK2222424,0
AK2222666,.083881579
AK2222783,0
AK2222806,.027027028
AK2222822,.2027027
AK2222848,0
AK2222880,0
AK2222929,0
AK2222987,.045977011
AK2222995,0
AK2223014,0
AK2223023,0
AK2223080,0
AK2223111,.076858237
AK2223129,0
AK2223145,.008547009
AK2223179,0
AK2223315,.016403362
AK2223420,.12089202
AK2223438,0
AK2223454,.052631576
AK2223455,.056603774
AK2223527,.03846154
AK2223593,.19591697
AK2223616,0
AK2223624,0
AK2223658,0
AK2223713,0
AK2223721,0
AK2223747,.050000001
AK2223828,0
AK2223844,.022727273
AK2223894,0
AK2223933,0
AK2223959,.044444446
AK2223983,0
AK2224028,.018031189
AK2224036,0
AK2224060,0
AK2224078,0
AK2224109,0
AK2224117,.017857144
AK2224159,0
AK2224167,.0047169812
AK2224175,.069444448
AK2224183,.4108637
AK2224206,0
AK2224214,.011904762
AK2224256,0
AK2224272,0
AK2224329,0
AK2224337,0
AK2224345,0
AK2224379,0
AK2224395,0
AK2224426,0
AK2224476,0
AK2224515,0
AK2224523,.2
AK2224531,.02631579
AK2224557,.023529412
AK2224573,0
AK2224581,.0033670033
AK2224604,0
AK2224646,.00040225263
AK2224670,.20454545
AK2224696,.43479937
AK2224701,0
AK2224735,.39655173
AK2224743,.0095238099
AK2224751,0
AK2224769,.0090090092
AK2224806,0
AK2224808,0
AK2224832,0
AK2224840,.02
AK2224882,0
AK2224913,0
AK2224955,0
AK2225008,.077922076
AK2225024,0
AK2225032,.0028735632
AK2225058,0
AK2225074,.033143941
AK2225082,.20454545
AK2225105,0
AK2225131,0
AK2225165,0
AK2225219,0
AK2225223,0
AK2225241,0
AK2225253,.014492754
AK2225261,0
AK2225279,.41991341
AK2225281,.0068027209
AK2225308,0
AK2225313,0
AK2225324,0
AK2225361,0
AK2225376,0
AK2225384,.03846154
AK2225398,0
AK2225419,0
AK2225458,.021276595
AK2225488,.02
AK2225499,0
AK2225502,.013157895
AK2225511,0
AK2225558,.05882353
AK2225572,0
AK2225585,0
AK2225593,.013201321
AK2225601,.010004002
AK2225626,0
AK2225639,0
AK2225653,0
AK2225683,.0062500001
AK2225697,0
AK2225713,.0025906735
AK2225728,0
AK2225748,.08195971
AK2225753,.30555555
AK2225773,0
AK2225794,0
AK2225819,0
AK2225835,0
AK2225907,0
AK2225967,0
AK2225968,.0098039219
AK2225970,0
AK2225975,0
AK2225977,.063636363
AK2225988,0
AK2225989,.37254903
AK2225990,0
AK2225995,.36434108
AK2225999,.024679488
AK2226014,.0033670033
AK2226017,0
AK2226019,.10869565
AK2226020,.0017032615
AK2226021,0
AK2226027,0
AK2226028,0
AK2226033,0
AK2226034,0
AK2226035,0
AK2226039,0
AK2226042,0
AK2226043,0
AK2226046,.022222223
AK2226047,.045454547
AK2226048,0
AK2226049,0
AK2226050,0
AK2226052,0
