"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"25284","WI8610550","TT","Resolved",2493,10
"25285","WV9919017","TT","Resolved",30,3
"25286","WY5600389","TT","Resolved",2377.95833333333,2
"25287","WY5600400","TT","Resolved",2377.95833333333,10
"25288","WY5601592","MCL","Resolved",29.0416666666667,2
"25289","AK2390641","TT","Unaddressed",1343,1
"25290","TX1270005","TT","Unaddressed",98,86
"25291","MI2046226","TT","Archived",1282.95833333333,1
"25292","MI2048249","TT","Unaddressed",462,1
"25293","WI1140153","TT","Unaddressed",188.958333333333,1
"25294","IL1670800","TT","Unaddressed",127.958333333333,1
"25295","AK2215558","TT","Resolved",1300.95833333333,1
"25296","AK2218651","TT","Resolved",1538,1
"25297","AK2261591","TT","Resolved",2652,3
"25298","AK2315146","TT","Resolved",2316.95833333333,2
"25299","AR0000589","TT","Resolved",2074,14
"25300","AR0000619","TT","Resolved",2105,11
"25301","AZ0408098","TT","Resolved",293,3
"25302","AZ0413067","TT","Unaddressed",1996.95833333333,5
"25303","AZ0413099","MCL","Resolved",28,2
"25304","AZ0413753","TT","Resolved",465,2
"25305","CA1200501","TT","Resolved",2377.95833333333,2
"25306","CA1500449","MCL","Resolved",120,12
"25307","CA2000516","MCL","Archived",30,4
"25308","CA2702624","MCL","Resolved",90,3
"25309","CA4300995","MCL","Archived",30,1
"25310","CA4900508","TT","Addressed",1897,4
"25311","CA5000470","MCL","Resolved",30,2
"25312","CO0103025","TT","Resolved",3019,4
"25313","CO0123726","MCL","Resolved",30,4
"25314","CO0143533","MCL","Resolved",91.0416666666667,30
"25315","CO0155518","TT","Unaddressed",148.958333333333,16
"25316","CO0235183","TT","Resolved",1883,4
"25317","CT0740504","MCL","Resolved",30,4
"25318","CT1210054","MCL","Resolved",30,5
"25319","FL6290741","MCL","Resolved",91,4
"25320","FL6512020","MCL","Resolved",30,2
"25321","GA1710022","TT","Resolved",1441,4
"25322","IA5722422","MCL","Resolved",90,9
"25323","IA6377046","MCL","Resolved",88.9583333333333,4
"25324","IA8225495","TT","Resolved",1588.95833333333,12
"25325","IA9905872","TT","Resolved",2270,12
"25326","ID1280054","MCL","Archived",91.0416666666667,8
"25327","ID1280275","TT","Resolved",2189,4
"25328","ID3380011","TT","Resolved",2532,71
"25329","IL3017681","TT","Resolved",371,3
"25330","IL3126417","MCL","Resolved",30,2
"25331","IL3142620","MCL","Archived",30,1
"25332","IN2160001","MCL","Resolved",365,19
"25333","IN2250842","MCL","Resolved",30,3
"25334","IN2329874","TT","Resolved",2523,3
